glycosample_id	GS_8
glycosample_entry	GS_8_E1
pmid	3346214
journal_name	The Journal of Biological Chemistry
journal_site	Takeuchi M._et_al_Table2
journal_title	Comparative study of the asparagine-linked sugar chains of human erythropoietins purified from urine and the culture medium of recombinant Chinese hamster ovary cells.
description	
organism	
taxonomy_name	
taxonomy_id	
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	urine
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	aplastic anemia
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	not data
isolation_source	
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
